x,y,z,reachable,last_phase,ik_distance,error
-0.35,-0.15,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,-0.1,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,-0.1,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,-0.1,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,-0.1,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,-0.05,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,-0.05,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,-0.05,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,-0.05,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.0,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.0,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.0,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.0,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.05,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.05,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.05,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.05,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.1,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.1,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.1,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.35,0.1,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.15,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.15,0.13,False,lift,nan,RuntimeError('motion planning failed')
-0.3,-0.15,0.18,False,lift,nan,RuntimeError('motion planning failed')
-0.3,-0.15,0.23,False,lift,nan,RuntimeError('motion planning failed')
-0.3,-0.1,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.1,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.1,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.1,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.05,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.05,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.05,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,-0.05,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.0,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.0,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.0,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.0,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.05,0.08,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.05,0.13,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.05,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.05,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.1,0.08,False,lift,nan,RuntimeError('motion planning failed')
-0.3,0.1,0.13,False,lift,nan,RuntimeError('motion planning failed')
-0.3,0.1,0.18,False,align_keyed,nan,RuntimeError('motion planning failed')
-0.3,0.1,0.23,False,align_keyed,nan,RuntimeError('motion planning failed')
